,t_sim,t_fwd,t_adj,np
Rahman_MBS2016,0.000301,0.0048963333333333,0.009895,9.0
Boehm_JProteomeRes2014,0.0004483333333333,0.0045993333333333,0.0153883333333333,9.0
Crauste_CellSystems2017,0.0006473333333333,0.0138676666666666,0.0090626666666666,12.0
Oliveira_NatCommun2021,0.000763,0.008411,0.016432,12.0
Bruno_JExpBot2016,0.0008563333333333,0.0069139999999999,0.0215296666666666,13.0
Sneyd_PNAS2002,0.0024686666666666,0.0482163333333333,0.1767269999999999,15.0
Okuonghae_ChaosSolitonsFractals2020,0.000306,0.0059353333333333,0.0120819999999999,16.0
Fujita_SciSignal2010,0.003519,0.127732,0.1148473333333333,19.0
Elowitz_Nature2000,0.0014206666666666,0.0403453333333333,0.063073,21.0
Fiedler_BMC2016,0.0007066666666666,0.02267,0.0299473333333333,22.0
Brannmark_JBC2010,0.003353,0.0812236666666666,0.102445,22.0
Borghans_BiophysChem1997,0.0023139999999999,0.0716796666666666,0.0579366666666666,23.0
Schwen_PONE2014,0.0057603333333333,0.142713,0.2635369999999999,30.0
Weber_BMC2015,0.0011186666666666,0.061737,0.0345203333333333,36.0
Isensee_JCB2018,0.0608206666666666,2.992948,2.0792530000000005,46.0
Zheng_PNAS2012,0.00035,0.014419,0.0203136666666666,46.0
Giordano_Nature2020,0.0003883333333333,0.0095753333333333,0.0142613333333333,50.0
Beer_MolBioSystems2014,0.0222533333333332,0.1782923333333322,4.68359633333333,72.0
Lucarelli_CellSystems2018,0.010204,1.15068,0.3713819999999999,84.0
Bachmann_MSB2011,0.0180153333333333,1.0842906666666663,0.7403503333333333,113.0
